施行日期,98無鉛汽油,95無鉛汽油,92無鉛汽油,超(高)級柴油
2015/5/25,29.4 ,27.4 ,25.9 ,24.0 
2015/5/18,29.6 ,27.6 ,26.1 ,24.2 
2015/5/11,29.8 ,27.8 ,26.3 ,24.4 
2015/5/4,29.2 ,27.2 ,25.7 ,23.8 
2015/4/27,29.0 ,27.0 ,25.5 ,23.6 
2015/4/20,28.7 ,26.7 ,25.2 ,23.2 
2015/4/13,27.9 ,25.9 ,24.4 ,22.4 
2015/4/6,27.6 ,25.6 ,24.1 ,22.1 
2015/3/30,27.7 ,25.7 ,24.2 ,22.2 
2015/3/23,27.2 ,25.2 ,23.7 ,21.7 
2015/3/16,28.0 ,26.0 ,24.5 ,22.6 
2015/3/9,28.7 ,26.7 ,25.2 ,23.3 
2015/3/2,28.5 ,26.5 ,25 ,23.1 
2015/2/23,28.8 ,26.8 ,25.3 ,23.4 
2015/2/16,28 ,26 ,24.5 ,22.5 
2015/2/9,27.5 ,25.5 ,24 ,21.9 
2015/2/2,25.6 ,23.6 ,22.1 ,19.9 
2015/1/26,25.7 ,23.7 ,22.2 ,19.9 
2015/1/19,25.6 ,23.6 ,22.1 ,19.8 
2015/1/12,26.6 ,24.6 ,23.1 ,20.9 
2015/1/5,27.8 ,25.8 ,24.3 ,22.3 
2014/12/29,28.5 ,26.5 ,25 ,23 
2014/12/22,28.4 ,26.4 ,24.9 ,22.9 
2014/12/15,29.4 ,27.4 ,25.9 ,24 
2014/12/8,30.4 ,28.4 ,26.9 ,25.1 
2014/12/1,31.6 ,29.6 ,28.1 ,26.4 
2014/11/24,31.8 ,29.8 ,28.3 ,26.7 
2014/11/17,32.2 ,30.2 ,28.7 ,27.1 
2014/11/10,32.7 ,30.7 ,29.2 ,27.7 
2014/11/3,33.3 ,31.3 ,29.8 ,28.4 
2014/10/27,33.3 ,31.3 ,29.8 ,28.3 
2014/10/20,33.5 ,31.5 ,30 ,28.5 
2014/10/13,34.4 ,32.4 ,30.9 ,29.5 
2014/10/6,35 ,33 ,31.5 ,30.2 
2014/9/29,35.2 ,33.2 ,31.7 ,30.4 
2014/9/22,35.4 ,33.4 ,31.9 ,30.6 
2014/9/15,35.5 ,33.5 ,32 ,30.7 
2014/9/8,36 ,34 ,32.5 ,31.3 
2014/9/1,36.2 ,34.2 ,32.7 ,31.4 
2014/8/25,36 ,34 ,32.5 ,31.3 
2014/8/18,36.3 ,34.3 ,32.8 ,31.6 
2014/8/11,36.6 ,34.6 ,33.1 ,32 
2014/8/4,36.9 ,34.9 ,33.4 ,32.3 
2014/7/28,37 ,35 ,33.5 ,32.4 
2014/7/21,36.9 ,34.9 ,33.4 ,32.2 
2014/7/14,37.1 ,35.1 ,33.6 ,32.5 
2014/7/7,37.5 ,35.5 ,34 ,33 
2014/6/30,37.9 ,35.9 ,34.4 ,33.4 
2014/6/23,38 ,36 ,34.5 ,33.5 
2014/6/16,37.4 ,35.4 ,33.9 ,32.8 
2014/6/9,37.2 ,35.2 ,33.7 ,32.5 
2014/6/2,37.4 ,35.4 ,33.9 ,32.8 
2014/5/26,37.5 ,35.5 ,34 ,32.9 
2014/5/19,37.3 ,35.3 ,33.8 ,32.7 
2014/5/12,37 ,35 ,33.5 ,32.4 
2014/5/5,37.2 ,35.2 ,33.7 ,32.6 
2014/4/28,37.4 ,35.4 ,33.9 ,32.8 
2014/4/21,37.3 ,35.3 ,33.8 ,32.7 
2014/4/14,36.9 ,34.9 ,33.4 ,32.2 
2014/4/7,36.9 ,34.9 ,33.4 ,32.2 
2014/3/31,37.2 ,35.2 ,33.7 ,32.6 
2014/3/24,37.1 ,35.1 ,33.6 ,32.4 
2014/3/17,37.1 ,35.1 ,33.6 ,32.5 
2014/3/10,37.4 ,35.4 ,33.9 ,32.7 
2014/3/3,37.4 ,35.4 ,33.9 ,32.9 
2014/2/24,37.5 ,35.5 ,34 ,32.9 
2014/2/17,37.3 ,35.3 ,33.8 ,32.7 
2014/2/10,36.9 ,34.9 ,33.4 ,32.3 
2014/2/3,37.2 ,35.2 ,33.7 ,32.6 
2014/1/27,37.2 ,35.2 ,33.7 ,32.6 
2014/1/20,36.9 ,34.9 ,33.4 ,32.2 
2014/1/13,37 ,35 ,33.5 ,32.4 
2014/1/6,37.4 ,35.4 ,33.9 ,32.8 
